,onset,description
573,176.8706066755684,OvertStartITI
574,177.3706018480433,OvertEndITI
575,177.3706782262824,ITIOvertVowelA
576,177.3712060978413,OvertStartFixation
577,178.00397454525034,OvertEndFixation
578,178.00399548759003,FixationOvertVowelA
579,178.00596776857026,OvertStartStimulus
580,178.75414208029713,OvertEndStimulus
581,178.75422677367067,TargetOvertVowelU
582,178.7542612672304,OvertVowelU
583,178.75432163120865,OvertStartISI
584,179.48733364507723,OvertEndISI
585,179.48740848329078,ISIOvertVowelU
586,179.48747993444965,OvertStartSpeech
587,180.9874783870854,OvertEndSpeech
588,180.98755538133435,SpeechOvertVowelU
589,180.98760866119744,OvertStartITI
590,181.48723426268032,OvertEndITI
591,181.4873140279741,ITIOvertVowelU
592,181.4879444561965,OvertStartFixation
593,182.10384380007042,OvertEndFixation
594,182.10392387336822,FixationOvertVowelU
595,182.10603659262586,OvertStartStimulus
596,182.85388229302487,OvertEndStimulus
597,182.85395990328368,TargetOvertVowelI
598,182.85398392567265,OvertVowelI
599,182.85403289346675,OvertStartISI
600,183.43745396370184,OvertEndISI
601,183.4375368090458,ISIOvertVowelI
602,183.43759717302407,OvertStartSpeech
603,184.93714967542917,OvertEndSpeech
604,184.93717184978857,SpeechOvertVowelI
605,184.93720788337293,OvertStartITI
606,185.4373034564768,OvertEndITI
607,185.43738630181986,ITIOvertVowelI
608,185.4378821438603,OvertStartFixation
609,186.0372674819572,OvertEndFixation
610,186.03734139615597,FixationOvertVowelI
611,186.0402490023033,OvertStartStimulus
612,186.78729026865756,OvertEndStimulus
613,186.7873697259455,TargetOvertVowelSilencio
614,186.78739128429595,OvertSilence
615,186.78743902106987,OvertStartISI
616,187.78713463324118,OvertEndISI
617,187.78715988665033,ISIOvertVowelSilencio
618,187.78720577539468,OvertStartSpeech
619,189.28720084097574,OvertEndSpeech
620,189.287276911209,SpeechOvertVowelSilencio
621,189.28731294379384,OvertStartITI
622,189.78715597680264,OvertEndITI
623,189.78724067017617,ITIOvertVowelSilencio
624,189.78781658651394,OvertStartFixation
625,190.5707306435496,OvertEndFixation
626,190.5708057897681,FixationOvertVowelSilencio
627,190.57286522816128,OvertStartStimulus
628,191.32051782842962,OvertEndStimulus
629,191.32058958659297,TargetOvertVowelO
630,191.32061268496716,OvertVowelO
631,191.3206601127357,OvertStartISI
632,191.83739442263857,OvertEndISI
633,191.83747295691217,ISIOvertVowelO
634,191.83753301188597,OvertStartSpeech
635,193.33719022698904,OvertEndSpeech
636,193.33726075413222,SpeechOvertVowelO
637,193.3372983267417,OvertStartITI
638,193.8371552179741,OvertEndITI
639,193.83718016437876,ITIOvertVowelO
640,201.07249283475164,CovertStartFixation
641,202.00420849362024,CovertEndFixation
642,202.00428795190862,FixationCovertVowel:O
643,202.00628302325902,CovertStartStimulus
644,202.7538423060131,CovertEndStimulus
645,202.75387094747737,TargetCovertVowelI
646,202.75390051395686,CovertVowelI
647,202.7539519457913,CovertStartISI
648,203.487174616076,CovertEndISI
649,203.48725130231912,ISICovertVowelI
650,203.4872922629828,CovertStartSpeech
651,204.98739450430173,CovertEndSpeech
652,204.98743762100082,SpeechCovertVowelI
653,204.9874905928599,CovertStartITI
654,205.4873173026043,CovertEndITI
655,205.48739614488193,ITICovertVowelI
656,205.4878959899869,CovertStartFixation
657,206.23745404015142,CovertEndFixation
658,206.23753011038468,FixationCovertVowel:I
659,206.24009031889898,CovertStartStimulus
660,206.98758277156946,CovertEndStimulus
661,206.98766192085247,TargetCovertVowelO
662,206.98769210234138,CovertVowelO
663,206.987746614226,CovertStartISI
664,207.737368108419,CovertEndISI
665,207.73744202261776,ISICovertVowelO
666,207.7374956104867,CovertStartSpeech
667,209.2371568286543,CovertEndSpeech
668,209.23718146705312,SpeechCovertVowelO
669,209.23721934866796,CovertStartITI
670,209.73710765341082,CovertEndITI
671,209.73718557167365,ITICovertVowelO
672,209.73766971052453,CovertStartFixation
673,210.63726681158812,CovertEndFixation
674,210.6373419578057,FixationCovertVowel:O
675,210.63943650577028,CovertStartStimulus
